fonte,categoria,citta,nome,indirizzo,telefono,sito,descrizione,note
GoogleMaps,Ristoranti/Pizzerie,Busto Arsizio,I 5 Campanili,"Via Luigi Maino, 18, 21052 Busto Arsizio VA, Italia",0331 630493,https://www.5campanili.com/,,Rating: 4.5/331
GoogleMaps,Ristoranti/Pizzerie,Busto Arsizio,Trattoria del Municipio,"Via Andrea Zappellini, 19/a, 21052 Busto Arsizio VA, Italia",392 325 4346,http://www.trattoriamunicipio.it/,,Rating: 4.3/517
GoogleMaps,Ristoranti/Pizzerie,Busto Arsizio,Cascina del Lupo,"Via G. Romagnosi, 5, 21052 Busto Arsizio VA, Italia",0331 382965,,,Rating: 4.2/574
GoogleMaps,Ristoranti/Pizzerie,Busto Arsizio,Osteria degli Artisti,"Viale Lombardia, 44, 21052 Busto Arsizio VA, Italia",0331 626362,,,Rating: 4.3/586
GoogleMaps,Ristoranti/Pizzerie,Busto Arsizio,Diverso Ristorante Contemporaneo,"Viale Sicilia, 16, 21052 Busto Arsizio VA, Italia",375 974 9951,https://www.diversoristorante.it/,,Rating: 4.8/49
GoogleMaps,Ristoranti/Pizzerie,Busto Arsizio,Trattoria Caprese,"Via Solferino, 3, 21052 Busto Arsizio VA, Italia",0331 072450,https://m.facebook.com/pages/category/Diner/Trattoria-Caprese-Busto-Arsizio-114352216657958/,,Rating: 4/1674
GoogleMaps,Ristoranti/Pizzerie,Busto Arsizio,Ristorante Miró,"Via Roma, 5/Cortile interno, 21052 Busto Arsizio VA, Italia",0331 623310,http://www.ristorantemiro.it/,,Rating: 4.6/339
GoogleMaps,Ristoranti/Pizzerie,Busto Arsizio,Grani in Bottega,"Viale Trentino, 10, 21052 Busto Arsizio VA, Italia",0331 317050,http://www.graninbottega.it/,,Rating: 4.5/721
GoogleMaps,Ristoranti/Pizzerie,Busto Arsizio,Karma Ristorante Pizzeria,"Corso Italia, 34A, 21052 Busto Arsizio VA, Italia",0331 027171,https://www.karmaristorantepizzeria.com/,,Rating: 4.6/390
GoogleMaps,Ristoranti/Pizzerie,Busto Arsizio,Kuwagata,"Via Cardinal Tosi, 9, 21052 Busto Arsizio VA, Italia",351 413 1471,https://www.kuwagata.it/,,Rating: 4.9/65
